ConstituencyName,Party,Candidate,WinProbability,PredictedWinner
ARM RIVER,NDP,Cam Goff,0.057997888042517105,0
ARM RIVER,PC,Steve Forbes,0.002133725540352805,0
ARM RIVER,GP,Tiffany Giesbrecht,0.002133725540352805,0
ARM RIVER,SP,Dana Skoropad,0.6393508822441809,1
ATHABASCA,NDP,Buckley Belanger,0.7900167402710189,1
ATHABASCA,GP,Leroy Laliberte,0.002133725540352805,0
ATHABASCA,SP,Kelly Kwan,0.6393508822441809,0
BATOCHE,NDP,Lon Borgerson,0.057997888042517105,0
BATOCHE,PC,Carrie Harris,0.002133725540352805,0
BATOCHE,GP,Hamish Graham,0.002133725540352805,0
BATOCHE,SP,Delbert Kirsch,0.9908533164324339,1
BIGGAR-SASK VALLEY,WIP,Trevor Simpson,0.002133725540352805,0
BIGGAR-SASK VALLEY,NDP,Twyla Harris Naciri,0.057997888042517105,0
BIGGAR-SASK VALLEY,GP,Darcy Robilliard,0.002133725540352805,0
BIGGAR-SASK VALLEY,SP,Randy Weekes,0.9908533164324339,1
CANNINGTON,WIP,Wes Smith,0.002133725540352805,0
CANNINGTON,NDP,Dianne Twietmeyer,0.057997888042517105,0
CANNINGTON,GP,Jaina Forrest,0.002133725540352805,0
CANNINGTON,SP,Daryl Harrison,0.6393508822441809,1
CANORA-PELLY,WIP,Robert Hayes,0.002133725540352805,0
CANORA-PELLY,NDP,Stacey Strykowski,0.057997888042517105,0
CANORA-PELLY,GP,Breton Gattinger,0.002133725540352805,0
CANORA-PELLY,SP,Terry Dennis,0.9908533164324339,1
CARROT RIVER VALLEY,NDP,Rod McCorriston,0.057997888042517105,0
CARROT RIVER VALLEY,PC,Glen Leson,0.002133725540352805,0
CARROT RIVER VALLEY,GP,Liam Becker,0.002133725540352805,0
CARROT RIVER VALLEY,SP,Fred Bradshaw,0.9908533164324339,1
CUMBERLAND,NDP,Doyle Vermette,0.7900167402710189,1
CUMBERLAND,GP,Aaron Oochoo,0.002133725540352805,0
CUMBERLAND,SP,Darren Deschambeault,0.6393508822441809,0
CUT KNIFE-TURTLEFORD,WIP,Richard Nelson,0.002133725540352805,0
CUT KNIFE-TURTLEFORD,NDP,Matt Fedler,0.057997888042517105,0
CUT KNIFE-TURTLEFORD,GP,Patrick McNally,0.002133725540352805,0
CUT KNIFE-TURTLEFORD,SP,Ryan Domotor,0.6393508822441809,1
CYPRESS HILLS,WIP,Crystal Tiringer,0.002133725540352805,0
CYPRESS HILLS,NDP,Kelly Genert,0.057997888042517105,0
CYPRESS HILLS,PC,John Goohsen,0.002133725540352805,0
CYPRESS HILLS,GP,Dianna Holigroski,0.002133725540352805,0
CYPRESS HILLS,SP,Doug Steele,0.9908533164324339,1
ESTEVAN,WIP,Phillip Michael Zajac,0.002133725540352805,0
ESTEVAN,NDP,Seth Lendrum,0.057997888042517105,0
ESTEVAN,PC,Linda Sopp,0.002133725540352805,0
ESTEVAN,GP,Scott Meyers,0.002133725540352805,0
ESTEVAN,SP,Lori Carr,0.9908533164324339,1
HUMBOLDT-WATROUS,WIP,Constance Maffenbeier,0.002133725540352805,0
HUMBOLDT-WATROUS,NDP,Wendy Sekulich,0.057997888042517105,0
HUMBOLDT-WATROUS,PC,Rose Buscholl,0.002133725540352805,0
HUMBOLDT-WATROUS,GP,Jim Ternier,0.002133725540352805,0
HUMBOLDT-WATROUS,SP,Donna Harpauer,0.9908533164324339,1
INDIAN HEAD-MILESTONE,NDP,Jared Clarke,0.057997888042517105,0
INDIAN HEAD-MILESTONE,PC,Elvin Mandziak,0.002133725540352805,0
INDIAN HEAD-MILESTONE,GP,Billy Patterson,0.002133725540352805,0
INDIAN HEAD-MILESTONE,SP,Don McMorris,0.9908533164324339,1
KELVINGTON-WADENA,WIP,Justin Chrobot,0.002133725540352805,0
KELVINGTON-WADENA,NDP,Linda Patenaude,0.057997888042517105,0
KELVINGTON-WADENA,PC,Wayne Mastrachuk,0.002133725540352805,0
KELVINGTON-WADENA,GP,Melissa Fletcher,0.002133725540352805,0
KELVINGTON-WADENA,SP,Hugh Nerlien,0.9908533164324339,1
KINDERSLEY,WIP,Jason R. Cooper,0.002133725540352805,0
KINDERSLEY,NDP,Steven Allen,0.057997888042517105,0
KINDERSLEY,PC,Terry Sieben,0.002133725540352805,0
KINDERSLEY,GP,Evangeline Godron,0.002133725540352805,0
KINDERSLEY,SP,Ken Francis,0.9908533164324339,1
LAST MOUNTAIN-TOUCHWOOD,WIP,Gordon Bradford,0.002133725540352805,0
LAST MOUNTAIN-TOUCHWOOD,NDP,Thera Nordal,0.057997888042517105,0
LAST MOUNTAIN-TOUCHWOOD,PC,Victor Teece,0.002133725540352805,0
LAST MOUNTAIN-TOUCHWOOD,GP,Justin Stranack,0.002133725540352805,0
LAST MOUNTAIN-TOUCHWOOD,SP,Travis Keisig,0.6393508822441809,1
LLOYDMINSTER,WIP,Steve Gessner,0.002133725540352805,0
LLOYDMINSTER,NDP,Colleen Morrell Henning,0.057997888042517105,0
LLOYDMINSTER,GP,Audra Kish,0.002133725540352805,0
LLOYDMINSTER,SP,Colleen Young,0.9908533164324339,1
LUMSDEN-MORSE,WIP,Les Guillemin,0.002133725540352805,0
LUMSDEN-MORSE,NDP,Nic Lewis,0.057997888042517105,0
LUMSDEN-MORSE,GP,Isaiah Hunter,0.002133725540352805,0
LUMSDEN-MORSE,SP,Lyle Stewart,0.9908533164324339,1
MARTENSVILLE-WARMAN,WIP,Wade Sira,0.002133725540352805,0
MARTENSVILLE-WARMAN,NDP,Carla Streeton,0.057997888042517105,0
MARTENSVILLE-WARMAN,GP,Melvin Pylypchuk,0.002133725540352805,0
MARTENSVILLE-WARMAN,SP,Terry Jenson,0.6393508822441809,1
MEADOW LAKE,NDP,Harmonie King,0.057997888042517105,0
MEADOW LAKE,GP,Carol Vandale,0.002133725540352805,0
MEADOW LAKE,SP,Jeremy Harrison,0.9908533164324339,1
MELFORT,WIP,David Waldner,0.002133725540352805,0
MELFORT,NDP,Lorne Schroeder,0.057997888042517105,0
MELFORT,GP,Matthew Diakuw,0.002133725540352805,0
MELFORT,SP,Todd Goudy,0.9908533164324339,1
